roll,paper_code,scgpa,cgpa
20010104036,1800265518,6.79,7.22
20010104036,1800265600,5.63,7.33
20010104036,1800265817,4.54,6.75
20010104036,1800265821,5.63,7.33
20010104036,1800265985,6.13,7.45
20010104036,1800265988,5.61,6.83
20010104037,1800265270,6.04,7.43
20010104037,1800265518,7.33,7.63
20010104037,1800265600,7.17,7.7
20010104037,1800265817,6.81,7.49
20010104037,1800265988,7.61,7.5
20010104038,1800265270,5.38,6.8
20010104038,1800265340,6.12,7.26
20010104038,1800265518,4.13,6.63
20010104038,1800265599,7.12,7.61
20010104038,1800265600,6.13,7.24
20010104038,1800265817,4.15,6.4
20010104038,1800265822,5.38,6.88
20010104038,1800265986,5.88,6.98
20010104038,1800265988,4.96,6.42
20010104039,1800265270,5.21,7.22
20010104039,1800265518,7.08,7.52
20010104039,1800265600,6.83,7.62
20010104039,1800265817,6.85,7.4
20010104039,1800265988,7.61,7.43
20010104040,1800265270,7.13,7.81
20010104040,1800265518,7.92,7.83
20010104040,1800265817,7.54,7.78
20010104040,1800265988,6.78,7.64
20010104041,1800265270,6.96,7.56
20010104041,1800265518,7.5,7.55
20010104041,1800265817,6.85,7.43
20010104041,1800265988,5.52,7.17
20010104042,1800265270,5.58,7.68
20010104042,1800265518,7.42,7.95
20010104042,1800265600,7.21,8.08
20010104042,1800265817,7.35,7.84
20010104042,1800265988,7.91,7.85
20010104043,1800265270,7.29,8.21
20010104043,1800265518,7.83,8.14
20010104043,1800265817,7.65,8.05
20010104043,1800265988,7.78,8.02
20010104044,1800265270,2.75,4.98
20010104044,1800265340,2.88,5.7
20010104044,1800265518,1.29,4.35
20010104044,1800265599,2.88,5.7
20010104044,1800265600,3.25,5.1
20010104044,1800265817,1.42,3.84
20010104044,1800265820,2.88,5.7
20010104044,1800265821,3.25,5.1
20010104044,1800265984,2.88,5.7
20010104044,1800265985,3.25,5.1
20010104044,1800265986,1.29,4.35
20010104044,1800265988,3.57,3.8
20010104045,1800265270,5.17,7.38
20010104045,1800265518,6.96,7.47
20010104045,1800265817,6.92,7.51
20010104045,1800265821,6.92,7.81
20010104045,1800265988,7.65,7.53
20010104046,1800265270,7.38,7.97
20010104046,1800265518,7.04,7.79
20010104046,1800265817,7.65,7.76
20010104046,1800265988,7.26,7.7
20010104047,1800265270,7.63,8.08
20010104047,1800265340,8.31,8.23
20010104047,1800265518,7.29,7.93
20010104047,1800265817,7.46,7.84
20010104047,1800265988,7.26,7.77
20010104048,1800265270,6.88,7.67
20010104048,1800265518,7.08,7.56
20010104048,1800265817,7.15,7.49
20010104048,1800265988,7.22,7.45
20010104050,1800265270,7.96,8.56
20010104050,1800265518,8.63,8.57
20010104050,1800265817,8.23,8.51
20010104050,1800265988,7.0,8.31
20010104051,1800265270,7.17,7.61
20010104051,1800265518,7.5,7.59
20010104051,1800265817,7.27,7.53
20010104051,1800265988,7.61,7.54
20010104052,1800265270,7.29,8.11
20010104052,1800265518,4.54,7.41
20010104052,1800265817,2.65,6.82
20010104052,1800265988,4.78,6.78
20010104053,1800265270,7.0,7.82
20010104053,1800265518,7.08,7.67
20010104053,1800265817,5.54,7.3
20010104053,1800265988,7.17,7.47
20010104054,1800265270,7.58,8.36
20010104054,1800265518,7.88,8.26
20010104054,1800265817,7.35,8.1
20010104054,1800265988,7.61,8.04
20010104055,1800265270,6.79,7.96
20010104055,1800265340,8.5,8.34
20010104055,1800265518,7.33,7.84
20010104055,1800265817,7.12,7.71
20010104055,1800265988,7.57,7.69
20010104056,1800265270,7.67,8.1
20010104056,1800265518,8.0,8.08
20010104056,1800265817,7.54,7.99
20010104056,1800265988,7.91,7.98
20010104057,1800265270,2.04,3.16
20010104057,1800265340,3.38,3.53
20010104057,1800265518,0.0,2.69
20010104057,1800265600,2.79,3.35
20010104057,1800265817,0.77,2.35
20010104057,1800265986,0.0,2.69
20010104057,1800265987,2.27,2.61
20010104057,1800265988,4.17,2.74
20010104058,1800265270,6.71,7.51
20010104058,1800265518,7.67,7.54
20010104058,1800265817,6.73,7.4
20010104058,1800265988,7.65,7.43
20010104059,1800265270,4.88,6.78
20010104059,1800265518,3.88,6.2
20010104059,1800265817,4.92,6.18
20010104059,1800265821,5.38,6.9
20010104059,1800265822,4.63,6.45
20010104059,1800265985,6.13,7.08
20010104059,1800265986,5.13,6.7
20010104059,1800265988,6.87,6.54
20010104060,1800265270,7.33,8.04
20010104060,1800265518,7.71,7.98
20010104060,1800265817,5.96,7.62
20010104060,1800265988,7.52,7.75
20010104061,1800265270,7.08,8.17
20010104061,1800265518,7.42,8.02
20010104061,1800265817,6.96,7.84
20010104061,1800265988,7.35,7.77
20010104062,1800265270,4.04,5.77
20010104062,1800265340,4.04,6.32
20010104062,1800265518,1.88,5.0
20010104062,1800265599,4.04,6.32
20010104062,1800265600,4.04,5.77
20010104062,1800265817,1.96,4.66
20010104062,1800265820,4.04,6.32
20010104062,1800265821,4.54,5.89
20010104062,1800265822,2.54,5.23
20010104062,1800265984,4.04,6.32
20010104062,1800265985,5.04,6.01
20010104062,1800265988,4.39,4.83
